;correct_spelling;misspellings
572;Lør;['Lrø'                   , 'øLr'         , 'ørL'         , 'rLø'         , 'røL']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
573;skriftlig;['kriftlig'        , 'sriftlig'    , 'skiftlig'    , 'skrftlig'    , 'skritlig'    , 'skriflig'    , 'skriftig'    , 'skriftlg'    , 'skriftli']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
574;vild;['vidl'                 , 'vlid'        , 'vldi'        , 'vdil'        , 'vdli'        , 'ivld'        , 'ivdl'        , 'ilvd'        , 'ildv'        , 'idvl'        , 'idlv'        , 'lvid'        , 'lvdi'         , 'livd'   , 'lidv' , 'ldvi', 'ldiv', 'dvil', 'dvli', 'divl' , 'dilv', 'dlvi' , 'dliv']
575;redskab;['edskab'            , 'rdskab'      , 'reskab'      , 'redkab'      , 'redsab'      , 'redskb'      , 'redska']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
576;holdt;['oldt'                , 'hldt'        , 'hodt'        , 'holt']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
577;glas;['glsa'                 , 'gals'        , 'gasl'        , 'gsla'        , 'gsal'        , 'lgas'        , 'lgsa'        , 'lags'        , 'lasg'        , 'lsga'        , 'lsag'        , 'agls'        , 'agsl'         , 'algs'   , 'alsg' , 'asgl', 'aslg', 'sgla', 'sgal', 'slga' , 'sagl', 'salg'], 
578;græs;['grsæ'                 , 'gærs'        , 'gæsr'        , 'gsræ'        , 'gsær'        , 'rgæs'        , 'rgsæ'        , 'rægs'        , 'ræsg'        , 'rsgæ'        , 'rsæg'        , 'ægrs'        , 'ægsr'         , 'ærgs'   , 'ærsg' , 'æsgr', 'æsrg', 'sgræ', 'sgær', 'srgæ' , 'sræg', 'sægr' , 'særg']
579;ko;['ok']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
580;job;['jbo'                   , 'ojb'         , 'obj'         , 'bjo'         , 'boj']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
581;kant;['katn'                 , 'knat'        , 'knta'        , 'ktan'        , 'ktna'        , 'aknt'        , 'aktn'        , 'ankt'        , 'antk'        , 'atkn'        , 'atnk'        , 'nkat'        , 'nkta'         , 'nakt'   , 'natk' , 'ntka', 'ntak', 'tkan', 'tkna', 'takn' , 'tank', 'tnka' , 'tnak']
582;tegn;['teng'                 , 'tgen'        , 'tgne'        , 'tneg'        , 'tnge'        , 'etgn'        , 'etng'        , 'egtn'        , 'egnt'        , 'entg'        , 'engt'        , 'gten'        , 'gtne'         , 'getn'   , 'gent' , 'gnte', 'gnet', 'nteg', 'ntge', 'netg' , 'negt', 'ngte' , 'nget']
583;besøg;['esøg'                , 'bsøg'        , 'beøg'        , 'besg'        , 'besø']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
584;fortid;['ortid'              , 'frtid'       , 'fotid'       , 'forid'       , 'fortd'       , 'forti']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
585;blød;['bldø'                 , 'bøld'        , 'bødl'        , 'bdlø'        , 'bdøl'        , 'lbød'        , 'lbdø'        , 'løbd'        , 'lødb'        , 'ldbø'        , 'ldøb'        , 'øbld'        , 'øbdl'         , 'ølbd'   , 'øldb' , 'ødbl', 'ødlb', 'dblø', 'dbøl', 'dlbø' , 'dløb', 'døbl' , 'dølb']
586;sjov;['sjvo'                 , 'sojv'        , 'sovj'        , 'svjo'        , 'svoj'        , 'jsov'        , 'jsvo'        , 'josv'        , 'jovs'        , 'jvso'        , 'jvos'        , 'osjv'        , 'osvj'         , 'ojsv'   , 'ojvs' , 'ovsj', 'ovjs', 'vsjo', 'vsoj', 'vjso' , 'vjos', 'vosj' , 'vojs']
587;lyse;['lyes'                 , 'lsye'        , 'lsey'        , 'leys'        , 'lesy'        , 'ylse'        , 'yles'        , 'ysle'        , 'ysel'        , 'yels'        , 'yesl'        , 'slye'        , 'sley'         , 'syle'   , 'syel' , 'sely', 'seyl', 'elys', 'elsy', 'eyls' , 'eysl', 'esly' , 'esyl']
588;gas;['gsa'                   , 'ags'         , 'asg'         , 'sga'         , 'sag']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
589;vejr;['verj'                 , 'vjer'        , 'vjre'        , 'vrej'        , 'vrje'        , 'evjr'        , 'evrj'        , 'ejvr'        , 'ejrv'        , 'ervj'        , 'erjv'        , 'jver'        , 'jvre'         , 'jevr'   , 'jerv' , 'jrve', 'jrev', 'rvej', 'rvje', 'revj' , 'rejv', 'rjve' , 'rjev']
590;måned;['åned'                , 'mned'        , 'måed'        , 'månd'        , 'måne']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
591;millioner;['illioner'        , 'mllioner'    , 'milioner'    , 'milioner'    , 'milloner'    , 'milliner'    , 'millioer'    , 'millionr'    , 'millione']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
592;bære;['bæer'                 , 'bræe'        , 'breæ'        , 'beær'        , 'beræ'        , 'æbre'        , 'æber'        , 'ærbe'        , 'æreb'        , 'æebr'        , 'æerb'        , 'rbæe'        , 'rbeæ'         , 'ræbe'   , 'ræeb' , 'rebæ', 'reæb', 'ebær', 'ebræ', 'eæbr' , 'eærb', 'erbæ' , 'eræb']
593;slut;['sltu'                 , 'sult'        , 'sutl'        , 'stlu'        , 'stul'        , 'lsut'        , 'lstu'        , 'lust'        , 'luts'        , 'ltsu'        , 'ltus'        , 'uslt'        , 'ustl'         , 'ulst'   , 'ults' , 'utsl', 'utls', 'tslu', 'tsul', 'tlsu' , 'tlus', 'tusl' , 'tuls']
594;glad;['glda'                 , 'gald'        , 'gadl'        , 'gdla'        , 'gdal'        , 'lgad'        , 'lgda'        , 'lagd'        , 'ladg'        , 'ldga'        , 'ldag'        , 'agld'        , 'agdl'         , 'algd'   , 'aldg' , 'adgl', 'adlg', 'dgla', 'dgal', 'dlga' , 'dlag', 'dagl' , 'dalg']
595;håber;['åber'                , 'hber'        , 'håer'        , 'håbr'        , 'håbe']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
596;blomst;['lomst'              , 'bomst'       , 'blmst'       , 'blost'       , 'blomt'       , 'bloms']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
597;iklæde;['klæde'              , 'ilæde'       , 'ikæde'       , 'iklde'       , 'iklæe'       , 'iklæd']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
598;mærkelig;['ærkelig'          , 'mrkelig'     , 'mækelig'     , 'mærelig'     , 'mærklig'     , 'mærkeig'     , 'mærkelg'     , 'mærkeli']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
